,nama,tahun
81,Good Will Hunting,(1997)
82,Toy Story 3,(2010)
83,Requiem for a Dream,(2000)
84,Kimi no na wa.,(2016)
85,Singin' in the Rain,(1952)
86,3 Idiots,(2009)
87,Star Wars: Episode VI - Return of the Jedi,(1983)
88,2001: A Space Odyssey,(1968)
89,Eternal Sunshine of the Spotless Mind,(2004)
90,Reservoir Dogs,(1992)
91,Tengoku to jigoku,(1963)
92,Capharnaüm,(2018)
93,Citizen Kane,(1941)
94,Lawrence of Arabia,(1962)
95,Jagten,(2012)
96,M - Eine Stadt sucht einen Mörder,(1931)
97,North by Northwest,(1959)
98,Vertigo,(1958)
99,Le fabuleux destin d'Amélie Poulain,(2001)
100,Idi i smotri,(1985)
101,A Clockwork Orange,(1971)
102,Full Metal Jacket,(1987)
103,Double Indemnity,(1944)
104,The Apartment,(1960)
105,Scarface,(1983)
106,Ikiru,(1952)
107,The Sting,(1973)
108,To Kill a Mockingbird,(1962)
109,Taxi Driver,(1976)
110,Up,(2009)
111,L.A. Confidential,(1997)
112,Heat,(1995)
113,Metropolis,(1927)
114,Jodaeiye Nader az Simin,(2011)
115,Incendies,(2010)
116,Die Hard,(1988)
117,Snatch,(2000)
118,Hamilton,(2020)
119,Indiana Jones and the Last Crusade,(1989)
120,Ladri di biciclette,(1948)
121,1917,(2019)
122,Taare Zameen Par,(2007)
123,Der Untergang,(2004)
124,Per qualche dollaro in più,(1965)
125,Batman Begins,(2005)
126,Dangal,(2016)
127,The Kid,(1921)
128,Spider-Man: No Way Home,(2021)
129,Some Like It Hot,(1959)
130,All About Eve,(1950)
131,The Father,(2020)
132,Green Book,(2018)
133,The Wolf of Wall Street,(2013)
134,Judgment at Nuremberg,(1961)
135,Ran,(1985)
136,Unforgiven,(1992)
137,Casino,(1995)
138,Pan's Labyrinth,(2006)
139,There Will Be Blood,(2007)
140,The Sixth Sense,(1999)
141,A Beautiful Mind,(2001)
142,The Truman Show,(1998)
143,Monty Python and the Holy Grail,(1975)
144,Yôjinbô,(1961)
145,The Treasure of the Sierra Madre,(1948)
146,Shutter Island,(2010)
147,Rashômon,(1950)
148,Jurassic Park,(1993)
149,The Great Escape,(1963)
150,Kill Bill: Vol. 1,(2003)
151,No Country for Old Men,(2007)
152,Finding Nemo,(2003)
153,The Elephant Man,(1980)
154,Chinatown,(1974)
155,Raging Bull,(1980)
156,Everything Everywhere All at Once,(2022)
157,Gone with the Wind,(1939)
158,The Thing,(1982)
159,V for Vendetta,(2006)
160,Inside Out,(2015)
161,"Lock, Stock and Two Smoking Barrels",(1998)
162,Dial M for Murder,(1954)
163,El secreto de sus ojos,(2009)
164,Hauru no ugoku shiro,(2004)
165,The Bridge on the River Kwai,(1957)
166,"Three Billboards Outside Ebbing, Missouri",(2017)
167,Trainspotting,(1996)
168,Warrior,(2011)
169,Gran Torino,(2008)
170,Fargo,(1996)
171,Prisoners,(2013)
172,Tonari no Totoro,(1988)
173,Million Dollar Baby,(2004)
174,The Gold Rush,(1925)
175,Catch Me If You Can,(2002)
176,Blade Runner,(1982)
177,On the Waterfront,(1954)
178,Bacheha-Ye aseman,(1997)
179,The Third Man,(1949)
180,Ben-Hur,(1959)
181,12 Years a Slave,(2013)
182,The General,(1926)
183,Smultronstället,(1957)
184,Before Sunrise,(1995)
185,Gone Girl,(2014)
186,Harry Potter and the Deathly Hallows: Part 2,(2011)
187,The Deer Hunter,(1978)
188,In the Name of the Father,(1993)
189,The Grand Budapest Hotel,(2014)
190,Mr. Smith Goes to Washington,(1939)
191,Le salaire de la peur,(1953)
192,Barry Lyndon,(1975)
193,Sherlock Jr.,(1924)
194,Salinui chueok,(2003)
195,Klaus,(2019)
196,Hacksaw Ridge,(2016)
197,Det sjunde inseglet,(1957)
198,Room,(2015)
199,Relatos salvajes,(2014)
200,Mad Max: Fury Road,(2015)
201,The Big Lebowski,(1998)
202,How to Train Your Dragon,(2010)
203,Mary and Max.,(2009)
204,"Monsters, Inc.",(2001)
205,Jaws,(1975)
206,La passion de Jeanne d'Arc,(1928)
207,Tôkyô monogatari,(1953)
208,Dead Poets Society,(1989)
209,Hotel Rwanda,(2004)
210,Rocky,(1976)
211,Platoon,(1986)
212,Ford v Ferrari,(2019)
213,Pather Panchali,(1955)
214,Stand by Me,(1986)
215,The Terminator,(1984)
216,Spotlight,(2015)
217,Rush,(2013)
218,Network,(1976)
219,Into the Wild,(2007)
220,Logan,(2017)
221,The Wizard of Oz,(1939)
222,Ratatouille,(2007)
223,Groundhog Day,(1993)
224,Before Sunset,(2004)
225,The Exorcist,(1973)
226,The Best Years of Our Lives,(1946)
227,The Incredibles,(2004)
228,To Be or Not to Be,(1942)
229,The Grapes of Wrath,(1940)
230,Rebecca,(1940)
231,La battaglia di Algeri,(1966)
232,Hachi: A Dog's Tale,(2009)
233,Cool Hand Luke,(1967)
234,Amores perros,(2000)
235,Pirates of the Caribbean: The Curse of the Black Pearl,(2003)
236,La haine,(1995)
237,Les quatre cents coups,(1959)
238,Persona,(1966)
239,Babam ve Oglum,(2005)
240,It Happened One Night,(1934)
241,Life of Brian,(1979)
242,The Sound of Music,(1965)
243,Dersu Uzala,(1975)
244,Ah-ga-ssi,(2016)
245,Gandhi,(1982)
246,Aladdin,(1992)
247,The Help,(2011)
248,Jai Bhim,(2021)
249,Beauty and the Beast,(1991)
